"NOME_ALUNO","SEXO","IDADE (ao ingressar)","ESTADO_CIVIL (ao ingressar)","ETNIA","COD_CURSO","NOME_CURSO","ANO_INGRESSO","FORMA_INGRESSO","PERIODO_INGRESSO","ANO_EVASAO","PERIODO_EVASAO","Forna de Evasão","NUM_PERIODOS","NUM_MAX_PERIODOS","CH_TOTAL_CURSO","COTISTA","MUNICIPIO","ESTADO","PAIS","CRN","CRA","QTDE_TRANCAMENTOS"
"Aluno 1576","M","19.5","Solteiro(a)","Branca","11","Ciência da Computação","1993","Vestibular","1º Semestre","2001","","Formado","9","16","2910","N","VITORIA","","Brasil","","5.88","0"
"Aluno 1577","M","18.8","Solteiro(a)","Branca","11","Ciência da Computação","1997","Vestibular","1º Semestre","2003","2º Semestre","Desligado","9","16","2910","N","VITORIA","","Brasil","","5.41","0"
"Aluno 1578","M","18.2","Solteiro(a)","Branca","11","Ciência da Computação","2011","Vestibular","1º Semestre","2015","1º Semestre","Desligado","9","13","3590","N","VITORIA","Espirito Santo","Brasil","3,6658","3.59","1"
"Aluno 1579","M","19.1","Solteiro(a)","Branca","11","Ciência da Computação","1994","Vestibular","1º Semestre","1999","","Formado","9","16","2910","N","VITORIA","","Brasil","","7.47","0"
"Aluno 1580","M","18.8","Solteiro(a)","Branca","11","Ciência da Computação","2011","Vestibular","1º Semestre","2018","1º Semestre","Formado","9","13","3590","N","VITORIA","Espirito Santo","Brasil","15,4421","6.93","0"
"Aluno 1581","M","18.7","Solteiro(a)","Parda","11","Ciência da Computação","2003","Vestibular","1º Semestre","2004","2º Semestre","Desligado","9","16","2910","N","VITORIA","ES","Brasil","","0.11","0"
"Aluno 1582","M","18.5","Solteiro(a)","Branca","11","Ciência da Computação","1999","Vestibular","1º Semestre","2003","2º Semestre","Desligado","9","16","2910","N","VITORIA","","Brasil","","2.53","0"
"Aluno 1583","M","20.2","Solteiro(a)","Branca","11","Ciência da Computação","2005","Vestibular","1º Semestre","2015","1º Semestre","Desligado","9","16","2910","N","VITORIA","Espirito Santo","Brasil","14,7181","5.72","0"
"Aluno 1584","M","17.9","Solteiro(a)","Branca","11","Ciência da Computação","1999","Vestibular","1º Semestre","2001","","Desistência","9","16","2910","N","","","","","5.29","0"
"Aluno 1585","M","19.5","Solteiro(a)","Branca","11","Ciência da Computação","2011","Vestibular","1º Semestre","2019","1º Semestre","Formado","9","13","3590","N","VITORIA","Espirito Santo","Brasil","14,5477","5.39","0"
